"sample","cluster","mean_log2","sd_log2","n","min_q","se_log2","sig_label","cluster_num","cluster_ord"
"TCA","0",-1.14383516770512,1.1812729347855,2,1,0.835286102618961,"",0,0
"TCA","1",-0.700792339998234,2.40261394508946,2,0.405776584752565,1.69890461314612,"",1,1
"TCA","10",-1.58326030567498,2.51966361617831,2,0.765781075409687,1.7816712293087,"",10,10
"TCA","11",-0.687411142252664,0.535791887797709,2,1,0.378862077166502,"",11,11
"TCA","12",-0.790636580986378,2.63128453673121,2,0.598348063735767,1.86059913915394,"",12,12
"TCA","13",-0.414189298194274,0.0725903280748573,2,1,0.0513291132302878,"",13,13
"TCA","14",-0.685238407114682,0.759650491995572,2,0.953533661708198,0.537154014221766,"",14,14
"TCA","15",0.563839028011927,1.26310011023534,2,0.405776584752565,0.893146653264887,"",15,15
"TCA","16",1.41078746414909,0.219390610878563,2,0.570934579165436,0.155132588680891,"",16,16
"TCA","18",-0.471355635933771,3.76931318195581,2,0.405776584752565,2.66530691137679,"",18,18
"TCA","2",2.86137593635615,NA,1,0.405776584752565,0,"",2,2
"TCA","20",-0.989042800984714,0.962363470417667,2,1,0.680493735898552,"",20,20
"TCA","21",0.0495544519135419,0.28042416902288,2,0.765781075409687,0.198289831524681,"",21,21
"TCA","22",1.35075214944799,1.00156133961366,2,4.82807862013481e-05,0.708210815015104,"***",22,22
"TCA","23",-5.26101360472378,0.250059088686214,2,1,0.17681847730735,"",23,23
"TCA","24",3.30976557617676,0.634118709861901,2,0.0684755439938738,0.448389639820615,"",24,24
"TCA","25",-1.47989239261324,0.584945844388609,2,1,0.413619173194076,"",25,25
"TCA","3",-0.868696181945019,0.279416126009437,2,1,0.197577037474148,"",3,3
"TCA","4",-2.04337882074213,2.80914930460536,2,0.927554379116778,1.98636852265193,"",4,4
"TCA","5",1.32934226346036,1.95836389696917,2,4.56163507043528e-35,1.38477239157781,"***",5,5
"TCA","6",-2.02894743533817,3.37689171522057,2,0.76420733264852,2.38782303116513,"",6,6
"TCA","7",-0.911774503819876,1.60335070401961,2,0.765781075409687,1.13374015543249,"",7,7
"TCA","8",0.0495544519135418,2.77726735217034,2,0.405776584752565,1.96382457788766,"",8,8
"TCA","9",1.6345169526347,0.506434850474486,2,0.624908454933298,0.358103516999704,"",9,9
"Cytidine","0",-0.940987619672033,0.22544583297349,2,1,0.159414277285805,"",0,0
"Cytidine","1",-1.48075382539488,0.645306753959639,2,1,0.45630078167034,"",1,1
"Cytidine","10",-1.96337111631454,1.23646589039515,2,1,0.874313415804272,"",10,10
"Cytidine","11",-1.8600032032528,0.373331894200865,2,1,0.263985514022651,"",11,11
"Cytidine","12",-2.22848600033591,0.147781474935232,2,1,0.104497283060452,"",12,12
"Cytidine","13",-0.432402321396466,0.0990532892414874,2,1,0.0700412525214882,"",13,13
"Cytidine","14",-3.00802793478368,1.54218588194809,2,1,1.09049009497565,"",14,14
"Cytidine","15",0.293711059343321,1.17766834946804,2,0.912584506812159,0.832737275897618,"",15,15
"Cytidine","16",-1.59601768923015,NA,1,1,0,"",16,16
"Cytidine","18",-1.31023536647735,0.404157236723504,2,1,0.285782322752807,"",18,18
"Cytidine","2",2.28960080594084,1.01214344533328,2,0.4612077420758,0.715693493728676,"",2,2
"Cytidine","20",0.462427955290585,0.191363470843747,2,0.0346718220780186,0.135314407905007,"*",20,20
"Cytidine","21",1.04745293336504,0.407279318568473,2,0.114120773054497,0.287989967996803,"",21,21
