"comparison","cluster","mean_log2","sd_log2","mean_or","n_reps","min_q","n_sig_005","se_log2","sig_label"
"Cytidine_vs_ATP","0",-0.487200676015754,0.205501974049332,0.690697046199747,2,0.284521368867194,0,0.145311839397504,""
"Cytidine_vs_ATP","1",-1.19346584805675,1.59534962793649,0.573591738643411,2,0.0418696237378025,1,1.12808254027733,"*"
"Cytidine_vs_ATP","10",-1.78567813362546,0.441413744219195,0.287194829398732,2,0.159215581841096,0,0.312126651846337,""
"Cytidine_vs_ATP","11",-3.36062175772835,0.163616944534238,0.0958535838721005,2,0.159215581841096,0,0.115694650997183,""
"Cytidine_vs_ATP","12",-3.09536439937896,0.211513609162729,0.115862580723203,2,0.172949489912423,0,0.149562707352207,""
"Cytidine_vs_ATP","13",0.353280513284166,0.196258903280719,1.32428537546729,2,0.38677787515179,0,0.138776001378031,""
"Cytidine_vs_ATP","14",-2.10261418422651,2.24827698131841,0.387266232515021,2,0.0674187976311635,0,1.58977189947587,""
"Cytidine_vs_ATP","15",-1.06215418653473,1.17266549201836,0.556307216364336,2,0.284521368867194,0,0.829199721469643,""
"Cytidine_vs_ATP","16",-1.36564859006031,0.00680151694577725,0.386833048203683,2,1,0,0.00480939875471431,""
"Cytidine_vs_ATP","18",-2.6168987603249,1.77633647765561,0.225977223644057,2,0.0418696237378025,1,1.25605956901931,"*"
"Cytidine_vs_ATP","2",-0.330453926114608,2.51301458866624,1.48944146828239,2,0.178645362674063,0,1.77696965686662,""
"Cytidine_vs_ATP","20",-0.00947241139043961,0.638377236164155,1.11063760734941,2,0.159215581841096,0,0.4514008726468,""
"Cytidine_vs_ATP","21",1.64286025015327,0.880023146968901,3.56769819754256,2,0.0209889408856538,1,0.622270334822836,"*"
"Cytidine_vs_ATP","22",-0.264171689145415,0.833972363340578,0.905783707088695,2,0.532121925263308,0,0.589707513440294,""
"Cytidine_vs_ATP","23",-0.858325202078106,2.43938603964381,1.00305207463102,2,0.467241134863499,0,1.72490641056393,""
"Cytidine_vs_ATP","24",2.78395541913333,1.90502838005646,10.3945323918094,2,0.0506591833621383,0,1.34705848589075,""
"Cytidine_vs_ATP","25",0.322539349394563,2.08869113198773,1.98384096887591,2,0.299830705132218,0,1.47692766323273,""
"Cytidine_vs_ATP","3",-0.941650136782832,1.64865261826819,0.699862963307314,2,0.623679060190109,0,1.1657734461984,""
"Cytidine_vs_ATP","4",-2.76932605108911,1.99190121953014,0.219464484705269,2,0.0209889408856538,1,1.40848685978352,"*"
"Cytidine_vs_ATP","5",0.861441081730521,0.545573901400922,2.46065201054178,2,4.17546220789647e-09,1,0.385779005318993,"***"
"Cytidine_vs_ATP","6",-1.62946325288791,0.775712941611806,0.335384670405473,2,0.0506591833621383,0,0.548511881267873,""
"Cytidine_vs_ATP","7",-1.01970973774147,0.496032933646856,0.502140992090091,2,0.299830705132218,0,0.350748251073548,""
"Cytidine_vs_ATP","8",-2.95061109078146,0.0068015169457771,0.127605246385562,2,0.255663993642409,0,0.0048093987547142,""
"Cytidine_vs_ATP","9",0.219313910660849,2.24827698131841,1.95284024378248,2,0.582428834732746,0,1.58977189947587,""
"TCA_vs_ATP","0",-0.690048224048845,1.16132907586134,0.716087147450568,2,0.00170998711410894,1,0.821183664730661,"**"
"TCA_vs_ATP","1",-0.413504362660103,1.45257107111261,0.967797248802763,2,0.355502643099323,0,1.02712285453914,""
"TCA_vs_ATP","10",-1.4055673229859,1.72461147000236,0.514820379884241,2,0.00820216180814337,1,1.21948446535077,"**"
"TCA_vs_ATP","11",-2.18802969672821,0.326076938131082,0.218736565248581,2,0.090754965177262,0,0.230571214141034,""
